#,PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %
73,Bayana,10,SC,Rajasthan,Shyam Sunder Lal,Bharatiya Lok Dal,"5,95,518","3,42,279",57.5 %,"1,16,688",34.1%
74,Beed,34,GEN,Maharashtra,Burande Gangadhar Appa,Communist Party Of India (MARXIST),"6,98,692","3,54,660",50.8 %,"51,897",14.6%
75,Begusarai,33,GEN,Bihar [1947 - 1999],Shyam Nandan Mishra,Bharatiya Lok Dal,"6,74,335","4,26,289",63.2 %,"35,228",8.3%
76,Belgaum,25,GEN,Karnataka,Kotrashetti Appayappa Karaveerappa,Indian National Congress,"6,29,378","3,31,684",52.7 %,"64,002",19.3%
77,Bellary,5,SC,Karnataka,K. S. Veera Bhadrappa,Indian National Congress,"5,93,687","3,86,059",65.0 %,"1,45,544",37.7%
78,Berhampore,10,GEN,West Bengal,Tridip Chaudhuri,Revolutionary Socialist Party,"6,45,013","3,91,275",60.7 %,"1,02,180",26.1%
79,Berhampur,11,GEN,Orissa,Jagannath Rao R.,Indian National Congress,"6,07,072","2,14,711",35.4 %,"50,089",23.3%
80,Bettiah,2,GEN,Bihar [1947 - 1999],Fazlur Rahman,Bharatiya Lok Dal,"6,41,326","3,23,082",50.4 %,"96,328",29.8%
81,Betul,28,GEN,Madhya Pradesh [1947 - 1999],Subhash Chandra Ahuja,Bharatiya Lok Dal,"5,04,032","2,35,157",46.7 %,"26,923",11.4%
82,Bhadrachalam,5,ST,Andhra Pradesh,Radha Bai Ananda Rao,Indian National Congress,"5,98,925","2,70,495",45.2 %,"95,968",35.5%
83,Bhadrak,3,GEN,Orissa,Bairagi Jena,Bharatiya Lok Dal,"6,14,684","3,36,054",54.7 %,"71,577",21.3%
84,Bhagalpur,30,GEN,Bihar [1947 - 1999],Dr. Ramji Singh,Bharatiya Lok Dal,"6,82,880","4,34,658",63.7 %,"1,84,718",42.5%
85,Bhandara,24,GEN,Maharashtra,Mankar Laxmanrao Bisanji,Bharatiya Lok Dal,"6,07,535","4,04,717",66.6 %,"51,633",12.8%
86,Bharatpur,9,SC,Rajasthan,Ram Kishan,Bharatiya Lok Dal,"5,71,485","3,71,713",65.0 %,"1,56,489",42.1%
87,Bhatinda,11,GEN,Punjab,Dhanna Singh,Shiromani Akali Dal,"6,07,613","4,35,035",71.6 %,"1,75,311",40.3%
88,Bhavnagar,8,SC,Gujarat,Prasannavadan Manilal Methta,Bharatiya Lok Dal,"5,09,755","2,62,543",51.5 %,"11,137",4.2%
89,Bhilwara,20,ST,Rajasthan,Rooplal Somani,Bharatiya Lok Dal,"6,36,244","3,63,903",57.2 %,"1,28,392",35.3%
90,Bhind,2,GEN,Madhya Pradesh [1947 - 1999],Raghubir Singh Machhand,Bharatiya Lok Dal,"6,49,212","3,43,476",52.9 %,"1,60,894",46.8%
91,Bhiwani,8,GEN,Haryana,Chandrawati,Bharatiya Lok Dal,"5,90,889","4,35,502",73.7 %,"1,61,242",37.0%
92,Bhopal,30,GEN,Madhya Pradesh [1947 - 1999],Arif Beg,Bharatiya Lok Dal,"6,16,993","3,81,028",61.8 %,"1,08,526",28.5%
93,Bhubaneswar,9,GEN,Orissa,Sivaji Patnaik,Communist Party Of India (MARXIST),"6,09,164","2,46,013",40.4 %,"5,469",2.2%
94,Bidar,1,GEN,Karnataka,Shankardev Balaji Rao,Indian National Congress,"6,06,711","3,11,925",51.4 %,"50,230",16.1%
95,Bijapur,28,SC,Karnataka,Choudhari Kalingappa Bhimanna,Indian National Congress,"5,76,941","3,37,433",58.5 %,"21,674",6.4%
96,Bijnor,5,SC,Uttar Pradesh [1947 - 1999],Mahi Lal,Bharatiya Lok Dal,"5,94,498","3,53,959",59.5 %,"1,95,814",55.3%
97,Bikaner,2,SC,Rajasthan,Hari Ram Makkasar,Bharatiya Lok Dal,"6,75,406","3,68,614",54.6 %,"1,05,244",28.6%
98,Bikramganj,39,GEN,Bihar [1947 - 1999],Ram Awadhesh Singh,Bharatiya Lok Dal,"6,92,767","4,25,266",61.4 %,"1,51,751",35.7%
99,Bilaspur,15,GEN,Madhya Pradesh [1947 - 1999],Niranjan Prasad Kesharwani,Bharatiya Lok Dal,"5,46,085","3,05,653",56.0 %,"12,827",4.2%
100,Bilhaur,64,GEN,Uttar Pradesh [1947 - 1999],Ram Gopal Singh,Bharatiya Lok Dal,"6,20,424","3,71,190",59.8 %,"1,68,175",45.3%
101,Birbhum,42,GEN,West Bengal,Gadadhar Saha,Communist Party Of India (MARXIST),"5,53,221","2,88,116",52.1 %,"30,549",10.6%
102,Bobbili,3,GEN,Andhra Pradesh,Pusapati Vijayrama Gajapathi Raju,Indian National Congress,"6,35,653","3,42,868",53.9 %,"51,588",15.0%
103,Bolangir,16,SC,Orissa,Ainthu Sahoo,Bharatiya Lok Dal,"5,72,122","2,32,260",40.6 %,"57,724",24.9%
104,Bolpur,41,SC,West Bengal,Saradish Roy,Communist Party Of India (MARXIST),"5,50,289","2,66,128",48.4 %,"35,951",13.5%
105,Bombay North,9,SC,Maharashtra,Gore Mrinal Keshav,Bharatiya Lok Dal,"6,59,985","4,22,795",64.1 %,"1,47,090",34.8%
106,Bombay North Central,6,GEN,Maharashtra,Ahilya P. Rangnekar,Communist Party Of India (MARXIST),"6,77,049","4,01,104",59.2 %,"69,915",17.4%
107,Bombay North East,7,SC,Maharashtra,Subramaniam Swamy,Bharatiya Lok Dal,"6,97,754","4,31,636",61.9 %,"1,23,122",28.5%
108,Bombay North West,8,GEN,Maharashtra,Ram Jethmalani,Bharatiya Lok Dal,"6,43,901","4,09,025",63.5 %,"93,499",22.9%
109,Bombay South,4,GEN,Maharashtra,Rajada Ratansingh Gokuldas,Bharatiya Lok Dal,"6,85,196","4,05,754",59.2 %,"64,394",15.9%
110,Bombay South Central,5,GEN,Maharashtra,Kamble Bapu Chandrasen,Bharatiya Lok Dal,"6,55,937","3,87,772",59.1 %,"53,703",13.8%
111,Broach,23,ST,Gujarat,Patel Ahmedbhai  Mohmadbhai,Indian National Congress,"5,44,523","3,45,057",63.4 %,"62,879",18.2%
112,Budaun,10,GEN,Uttar Pradesh [1947 - 1999],Onkar Singh,Bharatiya Lok Dal,"6,02,666","3,47,350",57.6 %,"1,42,652",41.1%
113,Bulandshahr,78,GEN,Uttar Pradesh [1947 - 1999],Mahmood Hassan Khan,Bharatiya Lok Dal,"6,29,818","4,08,756",64.9 %,"2,11,013",51.6%
114,Buldhana,18,GEN,Maharashtra,Gawai Daulat Gunaji,Republican Party Of India (KHOBRAGADE),"5,80,389","3,52,690",60.8 %,"42,855",12.2%
115,Bulsar,26,ST,Gujarat,Patel Nanubhai Nichhabhai,Bharatiya Lok Dal,"5,56,415","3,30,000",59.3 %,"17,964",5.4%
116,Burdwan,39,GEN,West Bengal,Raj Krishna Dawn,Bharatiya Lok Dal,"6,38,853","3,63,202",56.9 %,"71,003",19.5%
117,Buxar,37,GEN,Bihar [1947 - 1999],Rama Nand Tiwary,Bharatiya Lok Dal,"7,05,022","4,46,815",63.4 %,"2,03,713",45.6%
118,Calcutta North East,22,GEN,West Bengal,Pratap Chandra Chunder,Bharatiya Lok Dal,"6,41,747","3,61,255",56.3 %,"1,29,759",35.9%
119,Calcutta North West,21,GEN,West Bengal,Bijoy Singh Nahar,Bharatiya Lok Dal,"5,95,840","3,21,742",54.0 %,"69,633",21.6%
120,Calcutta South,23,GEN,West Bengal,Dilip Chakravarty,Bharatiya Lok Dal,"6,54,202","3,98,561",60.9 %,"67,940",17.0%
121,Calicut,4,GEN,Kerala,V. A. Seyid Muhammad,Indian National Congress,"5,59,054","4,57,067",81.8 %,"13,704",3.0%
122,Cannanore,2,GEN,Kerala,C. K. Chandrappan,Communist Party Of India,"5,53,360","4,57,869",82.7 %,"12,877",2.8%
123,Chail,57,SC,Uttar Pradesh [1947 - 1999],Ram Nihor Rakesh,Bharatiya Lok Dal,"6,24,372","2,56,616",41.1 %,"1,16,721",45.5%
124,Chamarajanagar,15,GEN,Karnataka,B. Rachaiah,Indian National Congress,"6,06,937","4,00,768",66.0 %,"71,618",17.9%
125,Chandauli,51,GEN,Uttar Pradesh [1947 - 1999],Narsingh,Bharatiya Lok Dal,"6,04,665","3,98,509",65.9 %,"2,04,416",51.3%
126,Chandigarh,1,GEN,Chandigarh,Krishna Kant,Bharatiya Lok Dal,"1,60,963","1,08,494",67.4 %,"40,426",37.3%
127,Chandni Chowk,5,SC,Delhi [1977 Onwards],Sikandar Bakht,Bharatiya Lok Dal,"3,13,714","2,60,313",83.0 %,"1,15,989",44.6%
128,Chandrapur,26,GEN,Maharashtra,Raje Vishveshvarrao,Bharatiya Lok Dal,"5,94,026","3,92,636",66.1 %,"88,986",22.7%
129,Chapra,7,GEN,Bihar [1947 - 1999],Lalu Prasad,Bharatiya Lok Dal,"6,58,829","4,86,806",73.9 %,"3,73,800",76.8%
130,Chatra,44,GEN,Bihar [1947 - 1999],Sukdeo Prasad Verma,Bharatiya Lok Dal,"5,80,623","2,78,508",48.0 %,"1,43,534",51.5%
131,Chengalpattu,5,GEN,Tamil Nadu,Mohanarangam R.,All India Anna Dravida Munnetra Kazhagam,"6,30,334","4,61,557",73.2 %,"35,639",7.7%
132,Chhindwara,27,GEN,Madhya Pradesh [1947 - 1999],Gargishankar Ramkrishna Mishra,Indian National Congress,"5,14,364","2,43,307",47.3 %,"2,369",1.0%
133,Chhota Udaipur,21,ST,Gujarat,Rathawa Amarsinh Viriyabhai,Indian National Congress,"5,33,507","3,21,022",60.2 %,"41,123",12.8%
134,Chidambaram,12,GEN,Tamil Nadu,Murugesan A.,All India Anna Dravida Munnetra Kazhagam,"6,63,634","4,59,817",69.3 %,"1,09,234",23.8%
135,Chikballapur,9,ST,Karnataka,M. V. Krishnappa,Indian National Congress,"6,27,230","4,08,854",65.2 %,"48,474",11.9%
136,Chikkodi,26,GEN,Karnataka,B Shankaranand,Indian National Congress,"5,71,003","3,32,755",58.3 %,"45,500",13.7%
137,Chikmagalur,20,GEN,Karnataka,D. B. Chandre Gowda,Indian National Congress,"5,34,676","3,62,993",67.9 %,"64,568",17.8%
138,Chimur,25,GEN,Maharashtra,Thakur Krishnarao Dagoji,Indian National Congress,"6,31,759","4,49,794",71.2 %,"62,969",14.0%
139,Chirayinkil,19,GEN,Kerala,Vayalar Ravi,Indian National Congress,"5,64,054","4,25,651",75.5 %,"60,925",14.3%
140,Chitradurga,7,GEN,Karnataka,K. Mallanna,Indian National Congress,"6,19,838","3,82,855",61.8 %,"86,654",22.6%
141,Chittoor,21,GEN,Andhra Pradesh,P. Rajagopal Naidu,Indian National Congress,"6,99,218","4,72,389",67.6 %,"10,447",2.2%
142,Chittorgarh,19,ST,Rajasthan,Shyam Sunder,Bharatiya Lok Dal,"6,01,379","3,33,384",55.4 %,"1,37,682",41.3%
143,Churu,3,GEN,Rajasthan,Daulat Ram,Bharatiya Lok Dal,"6,21,315","3,78,811",61.0 %,"1,52,891",40.4%
144,Coimbatore,20,GEN,Tamil Nadu,Parvathi Krishnan,Communist Party Of India,"7,43,258","5,23,180",70.4 %,"21,178",4.0%
145,Contai,31,GEN,West Bengal,Guha Samar,Bharatiya Lok Dal,"5,81,866","3,88,122",66.7 %,"1,94,514",50.1%
146,Cooch Behar,1,SC,West Bengal,Amrendranath Roy Pradhan,All India Forward Bloc,"5,70,556","3,63,908",63.8 %,"1,02,858",28.3%
147,Cuddalore,11,GEN,Tamil Nadu,Bhuvarahan G.,Indian National Congress,"6,44,882","4,29,893",66.7 %,"89,057",20.7%
148,Cuddapah,23,GEN,Andhra Pradesh,Kandala Obul Reddy,Indian National Congress,"6,98,750","4,87,025",69.7 %,"7,562",1.6%
149,Cuttack,6,GEN,Orissa,Sarat Kumar Kar,Bharatiya Lok Dal,"6,23,921","3,30,152",52.9 %,"60,402",18.3%
150,Dadra & Nagar Haveli,1,GEN,Dadra & Nagar Haveli,Patel Ramubhai Ravjibhai,Indian National Congress,"37,532","25,706",68.5 %,"3,646",14.2%
151,Dahanu,11,GEN,Maharashtra,Kom Lahanu Shidava,Communist Party Of India (MARXIST),"6,29,624","3,11,918",49.5 %,"52,666",16.9%
152,Dahod,17,GEN,Gujarat,Damor Somjibhai Pujabhai,Indian National Congress,"5,08,980","1,84,171",36.2 %,"3,393",1.8%
153,Daman And Diu,1,GEN,Daman & Diu,Data Not Available,-,-,-,-,-,-
154,Damoh,7,GEN,Madhya Pradesh [1947 - 1999],Narendra Singh Yadvendra Singh,Bharatiya Lok Dal,"6,24,578","3,65,679",58.6 %,"1,49,419",40.9%
155,Darbhanga,15,GEN,Bihar [1947 - 1999],Surendra Jha Suman,Bharatiya Lok Dal,"6,35,811","4,22,293",66.4 %,"2,12,002",50.2%
156,Darjeeling,4,GEN,West Bengal,Krishna Bahadur Chettri,Indian National Congress,"6,24,898","2,72,135",43.6 %,"18,480",6.8%
157,Dausa,7,GEN,Rajasthan,Nathu Singh,Bharatiya Lok Dal,"6,22,623","3,38,872",54.4 %,"1,63,403",48.2%
158,Davangere,6,ST,Karnataka,Kondajji Basappa,Indian National Congress,"6,13,519","4,25,341",69.3 %,"92,122",21.7%
159,Delhi Sadar,6,GEN,Delhi [1977 Onwards],Kanwar Lal Gupta,Bharatiya Lok Dal,"3,09,550","2,19,842",71.0 %,"79,871",36.3%
160,Deogarh,18,GEN,Orissa,Pabitra Mohan Pradhan,Bharatiya Lok Dal,"6,11,756","2,58,428",42.2 %,"10,042",3.9%
161,Deoria,41,GEN,Uttar Pradesh [1947 - 1999],Ugrasen,Bharatiya Lok Dal,"6,62,864","3,44,697",52.0 %,"1,82,173",52.9%
162,Dhanbad,47,GEN,Bihar [1947 - 1999],A. K. Roy,Independent,"6,75,439","3,06,590",45.4 %,"1,41,849",46.3%
163,Dhandhuka,9,GEN,Gujarat,Parmar Natavarlal Bhagavandas,Bharatiya Lok Dal,"5,49,416","2,83,228",51.6 %,"27,766",9.8%
164,Dhar,36,ST,Madhya Pradesh [1947 - 1999],Bharat Singh Gulab Singh,Bharatiya Lok Dal,"5,42,947","3,22,804",59.5 %,"45,374",14.1%
165,Dharmapuri,13,SC,Tamil Nadu,Ramamurthy K.,Indian National Congress,"6,31,245","4,08,446",64.7 %,"1,05,686",25.9%
166,Dharwad North,24,GEN,Karnataka,Mahishi Sarojini Bindurao,Indian National Congress,"5,35,385","3,68,014",68.7 %,"54,428",14.8%
167,Dharwad South,23,GEN,Karnataka,Mohsin F. H.,Indian National Congress,"5,75,791","4,07,647",70.8 %,"91,940",22.6%
168,Dhenkanal,19,GEN,Orissa,Debendra Satpathy,Bharatiya Lok Dal,"5,90,280","2,61,634",44.3 %,"44,660",17.1%
169,Dhubri,4,GEN,Assam,Ahmmad Hossen,Indian National Congress,"5,03,545","3,40,929",67.7 %,590,0.2%
170,Dhulia,14,GEN,Maharashtra,Patil Vijaykumar Naval,Indian National Congress,"5,52,925","3,25,324",58.8 %,"52,149",16.0%
171,Diamond Harbour,17,GEN,West Bengal,Jyotirmoy Basu,Communist Party Of India (MARXIST),"6,08,458","3,89,100",64.0 %,"1,56,404",40.2%
172,Dibrugarh,13,GEN,Assam,Haren Bhumji,Indian National Congress,"5,02,862","2,48,898",49.5 %,"14,209",5.7%
173,Dindigul,23,GEN,Tamil Nadu,Maya Thevar K.,All India Anna Dravida Munnetra Kazhagam,"7,21,154","4,83,612",67.1 %,"1,69,224",35.0%
174,Domariaganj,35,GEN,Uttar Pradesh [1947 - 1999],Madhav Prasad Tripathi,Bharatiya Lok Dal,"6,57,832","4,01,100",61.0 %,"1,58,826",39.6%
175,Dum Dum,20,SC,West Bengal,Asoke Krishna Dutt,Bharatiya Lok Dal,"6,98,781","4,31,362",61.7 %,"21,780",5.0%
176,Dumka,27,ST,Bihar [1947 - 1999],Bateshwar Hemram,Bharatiya Lok Dal,"5,79,061","2,39,826",41.4 %,"53,254",22.2%
177,Durg,21,GEN,Madhya Pradesh [1947 - 1999],Mohan Bhaiya,Bharatiya Lok Dal,"6,02,735","3,56,029",59.1 %,"51,575",14.5%
178,Durgapur,37,SC,West Bengal,Krishna Chandra Haldar,Communist Party Of India (MARXIST),"6,77,500","3,59,280",53.0 %,"91,431",25.4%
179,East Delhi,4,GEN,Delhi [1977 Onwards],Kishore Lal,Bharatiya Lok Dal,"5,11,716","3,58,854",70.1 %,"1,33,107",37.1%
180,Eluru,11,GEN,Andhra Pradesh,Kommareddy Suryanarayana,Indian National Congress,"6,69,778","4,67,438",69.8 %,"1,34,033",28.7%
181,Erandol,16,GEN,Maharashtra,Patil Sonusing Dhansing,Bharatiya Lok Dal,"5,97,821","3,65,421",61.1 %,"13,814",3.8%
